F_dot,F_dot/P_info,F_dot/P_trap (conventional)
0.21912148290187,0.0503746790887921,0.39722549227986
0.219142024835849,0.0503782237342324,0.397203047062306
0.219162851447771,0.0503818174913014,0.397180293379738
0.21918396666356,0.0503854610368117,0.397157227050167
0.219205374462746,0.0503891550568891,0.397133843836499
0.219227078879184,0.0503929002471825,0.39711013944585
0.21924908400178,0.0503966973127045,0.397086109528859
0.219271393975225,0.0504005469682518,0.39706174967899
0.219294013000741,0.0504044499380997,0.39703705543183
0.219316945336837,0.0504084069564464,0.397012022264378
0.21934019530007,0.0504124187674961,0.396986645594327
0.219363767265822,0.0504164861257545,0.396960920779333
0.219387665669083,0.0504206097959635,0.396934843116293
0.219411895005243,0.0504247905530631,0.396908407840593
0.219436459830897,0.0504290291825213,0.396881610125367
0.21946136476466,0.0504333264808619,0.396854445080741
0.219486614487988,0.0504376832549483,0.396826907753065
0.219512213746016,0.0504421003230815,0.396798993124151
0.219538167348403,0.0504465785141401,0.396770696110485
0.219564480170184,0.0504511186688865,0.396742011562449
0.219591157152641,0.0504557216389583,0.396712934263525
0.219618203304177,0.0504603882876673,0.396683458929492
0.219645623701208,0.0504651194902903,0.39665358020762
0.219673423489057,0.0504699161338185,0.396623292675853
0.219701607882872,0.0504747791171,0.396592590841983
0.219730182168541,0.0504797093515233,0.396561469142822
0.219759151703631,0.0504847077602994,0.396529921943357
0.219788521918331,0.0504897752797168,0.396497943535908
0.219818298316405,0.0504949128582795,0.39646552813927
0.219848486476171,0.0505001214574608,0.396432669897852
0.219879092051469,0.050505402051951,0.396399362880803
0.219910120772666,0.0505107556291931,0.396365601081139
0.21994157844765,0.0505161831905694,0.396331378414852
0.219973470962856,0.0505216857502496,0.396296688720019
0.220005804284292,0.0505272643367748,0.396261525755901
0.220038584458582,0.0505329199919501,0.396225883202032
0.220071817614022,0.0505386537722813,0.396189754657302
0.220105509961645,0.0505444667479096,0.396153133639034
0.22013966779631,0.050550360003724,0.396116013582053
0.220174297497785,0.0505563346392405,0.396078387837742
0.220209405531866,0.050562391768672,0.396040249673098
0.220244998451489,0.0505685325212063,0.396001592269777
0.220281082897871,0.0505747580413033,0.395962408723128
0.220317665601654,0.0505810694888251,0.39592269204123
