f_ne,F_dot,err F_dot
0.001,0.210560090334407,0.000224843559191734
0.00123026877081238,0.211235929136972,0.000227512138278825
0.00151356124843621,0.211043519762548,0.000232346524645178
0.00186208713666287,0.210792461959782,0.000241597253019512
0.00229086765276777,0.210863264142182,0.000246817841069252
0.00281838293126445,0.210951695608645,0.000262354715850351
0.00346736850452532,0.211364590459515,0.000265332229713555
0.00426579518801593,0.211037551255293,0.000283084388526809
0.00524807460249772,0.211096405030182,0.000290956629199966
0.00645654229034656,0.211411876292827,0.00030341651472836
0.00794328234724281,0.211041875986206,0.000310195370675244
0.00977237220955811,0.211844256921979,0.000320715131880966
0.0120226443461741,0.212216134307744,0.000332870914195467
0.0147910838816821,0.212618764325731,0.000340536140669606
0.0181970085860998,0.213277457005612,0.000346500795981345
0.0223872113856834,0.213807093653856,0.000348430422311882
0.0275422870333817,0.214239383286096,0.000354809591482922
0.0338844156139203,0.21574693980258,0.00035830364363986
0.0416869383470335,0.217288488429332,0.000363399714518942
0.0512861383991365,0.217879241966369,0.000362756300124116
0.0630957344480193,0.21983411871409,0.000363905167792254
0.0776247116628692,0.222028962355799,0.000363159411050617
0.0954992586021436,0.224078842187923,0.000361121207200385
0.117489755493953,0.228295480205378,0.00036790284117589
0.144543977074593,0.230818207740919,0.000365861180761392
0.177827941003892,0.235969344669794,0.000367339971861307
0.218776162394955,0.240546036765654,0.000373978900975263
0.269153480392692,0.245249813918109,0.000368984783675757
0.331131121482591,0.251739069424714,0.000373317649753582
0.407380277804113,0.258892752196738,0.000367359700588712
0.501187233627272,0.266204804423303,0.000368430785129015
0.616595001861482,0.275568954725009,0.000372631708123486
0.758577575029184,0.28524203772264,0.000371551118077345
0.933254300796991,0.295133062468741,0.000370645307715237
1.14815362149688,0.305739348615456,0.000371123132137003
1.41253754462275,0.3171863034038,0.000376081971331131
1.73780082874938,0.32826527612595,0.000376085752416451
2.13796208950223,0.340121622223198,0.000383463468632153
2.63026799189538,0.351181029180045,0.000387704309846611
3.23593656929628,0.36217529742866,0.00038423189634492
3.98107170553497,0.373456295831158,0.000384726668699758
4.89778819368446,0.383828459422709,0.000386820093273604
6.02559586074358,0.394168491700659,0.00039088994550759
7.41310241300918,0.405573461448441,0.000390737992207449
9.1201083935591,0.41450784395567,0.000400744249664524
11.2201845430196,0.424618974875688,0.00039894620735702
13.8038426460288,0.433695047587851,0.00040197497529247
16.9824365246175,0.440970433707526,0.00039861141759909
20.8929613085404,0.450105639704428,0.000405761906124603
25.7039578276886,0.457855449677682,0.0004037547023284
31.6227766016838,0.465651823639031,0.000411103140320833
38.904514499428,0.471929281946035,0.000415707264683463
47.8630092322638,0.478649617653182,0.00041528038991975
58.8843655355588,0.484657715221281,0.000414408537021874
72.4435960074991,0.490477632254777,0.000422032016909218
89.1250938133746,0.495706783374429,0.000416325878867032
109.647819614319,0.499852381558822,0.000424994191655155
134.896288259165,0.503184730279783,0.000424807456130067
165.958690743756,0.507066790597735,0.000425950129762192
204.173794466953,0.509125184953501,0.000426888810018273
251.188643150958,0.51072840724261,0.000424150154804605
309.029543251359,0.512454556601477,0.000423539496018139
380.189396320561,0.515090447822446,0.000430940635695916
467.735141287198,0.515041293792233,0.000421322400259232
575.439937337157,0.516088008910861,0.000421812395555311
707.945784384137,0.517531682427078,0.000424091111360285
870.963589956081,0.517865678446303,0.000425265732061367
1071.51930523761,0.517657672080945,0.000426840976945928
1318.25673855641,0.51861129357439,0.000427748379438961
1621.81009735893,0.519256339744531,0.00043019116056012
1995.26231496888,0.519964859266007,0.000427361535411687
2454.70891568503,0.519011649463841,0.000427944331747253
3019.95172040202,0.51996866725581,0.000424072505678504
3715.35229097173,0.518609072877377,0.000426477205847257
4570.88189614875,0.519337107972817,0.000428132311135271
5623.41325190349,0.519989714559172,0.000432474141182552
6918.30970918936,0.519914885772148,0.000427113804391085
8511.38038202376,0.519496106451131,0.00042032742604635
10471.285480509,0.520484885391208,0.000424158855976234
12882.4955169313,0.519751267205278,0.000426644147249395
15848.9319246111,0.519790430013608,0.000425860954679552
19498.4459975805,0.519530228873469,0.000422748907519743
23988.3291901949,0.520416356812849,0.000424622884812933
29512.0922666638,0.520858426169752,0.000428632666744185
36307.8054770101,0.519775765702953,0.000425897420554886
44668.3592150964,0.520372382784963,0.000423604563057745
54954.0873857625,0.520136228809373,0.000424020616070824
67608.2975391982,0.520602200951446,0.00042746406600934
83176.3771102671,0.519638891356416,0.000427267978094423
102329.299228075,0.519724143814166,0.00042995637094064
125892.541179417,0.520359774545438,0.000422883978233056
154881.661891248,0.520071739791974,0.000426862470605759
190546.071796324,0.520095923277311,0.000421961272960912
234422.881531992,0.52021193131258,0.000428662740722319
288403.150312661,0.520449548516535,0.000425980413014959
354813.389233576,0.520435384855057,0.000424011630525127
436515.832240167,0.520031901094824,0.000429779763021217
537031.796370253,0.519849934411601,0.000426024477279345
660693.448007596,0.519999507449295,0.000431012687633566
812830.5161641,0.519582360150382,0.00042728420004032
1000000,0.519897691157443,0.000425496545000686
