f_ne,F_dot,err F_dot
0.001,0.213410435186578,0.0263522990756338
0.00123026877081238,0.213943824181544,0.0279019091963528
0.00151356124843621,0.213159299620637,0.0291123404975925
0.00186208713666287,0.214528344524703,0.0308472464633757
0.00229086765276777,0.213682392199678,0.0325849759838724
0.00281838293126445,0.2147655912031,0.0339114199239403
0.00346736850452532,0.215193452383524,0.0361671702115488
0.00426579518801593,0.215281334531222,0.0384056397168888
0.00524807460249772,0.216478407774104,0.0402401142864059
0.00645654229034656,0.216179361518524,0.0422724222847481
0.00794328234724281,0.216999445891531,0.0440425721519252
0.00977237220955811,0.217482178832281,0.045658773598741
0.0120226443461741,0.218443198400048,0.0476154183881466
0.0147910838816821,0.220611918724846,0.0488548171234613
0.0181970085860998,0.220914421632236,0.0498063317814632
0.0223872113856834,0.223723901812322,0.0512084330611637
0.0275422870333817,0.225332247527961,0.0517960135628885
0.0338844156139203,0.227352661048571,0.0519295268848318
0.0416869383470335,0.232040718896211,0.0528909872790649
0.0512861383991365,0.234693768101033,0.0520938832535733
0.0630957344480193,0.239509466097746,0.052868122771015
0.0776247116628692,0.245329891624676,0.052302209453792
0.0954992586021436,0.252277464259279,0.0531462722695021
0.117489755493953,0.259046242585658,0.0530660429511785
0.144543977074593,0.2679253296159,0.053371693359365
0.177827941003892,0.27801465274602,0.0534518298077678
0.218776162394955,0.288987452738027,0.0534414776968579
0.269153480392692,0.301833656083524,0.0534685884999378
0.331131121482591,0.317518439893262,0.054136878428964
0.407380277804113,0.333030728595716,0.0535837893859597
0.501187233627272,0.349657171244143,0.0539714869974198
0.616595001861482,0.3674477074698,0.05417685086211
0.758577575029184,0.387309131216122,0.0539354926943066
0.933254300796991,0.4096379984527,0.0547216159763294
1.14815362149688,0.43132395402768,0.054941606450468
1.41253754462275,0.454040521387064,0.0555250924040083
1.73780082874938,0.475983312036493,0.0558815633639844
2.13796208950223,0.498947584960789,0.0554831711350494
2.63026799189538,0.521928799122481,0.0557943990969781
3.23593656929628,0.543529287001656,0.0558711071382174
3.98107170553497,0.565578167258825,0.0572108821615762
4.89778819368446,0.588328297560183,0.0575561255901233
6.02559586074358,0.608721626962559,0.0572677557744783
7.41310241300918,0.628818630168033,0.0575002125160127
9.1201083935591,0.648640994347433,0.0584304291762797
11.2201845430196,0.666841703645465,0.0594730721962484
13.8038426460288,0.683954701504757,0.060078230524953
16.9824365246175,0.701741575732063,0.0600754993084653
20.8929613085404,0.718999080475688,0.060015224504246
25.7039578276886,0.73397298716293,0.0611257669325268
31.6227766016838,0.749813284884794,0.0616991994589749
38.904514499428,0.764466714544123,0.0619369472397672
47.8630092322638,0.776964308815883,0.0613816324421487
58.8843655355588,0.789662911102562,0.062728212401302
72.4435960074991,0.799713933906436,0.0628131210925156
89.1250938133746,0.810141138307606,0.0641547874448
109.647819614319,0.818695295058177,0.0633514787797277
134.896288259165,0.825218243822641,0.0630002767414994
165.958690743756,0.831128840228404,0.0637119848961519
204.173794466953,0.834563337087118,0.0641333899037807
251.188643150958,0.840244780604635,0.064148758359276
309.029543251359,0.843567928578074,0.0641236930783805
380.189396320561,0.846241387013667,0.0645242866326374
467.735141287198,0.846467854254623,0.0645573261840088
575.439937337157,0.848680346418529,0.0642141202931615
707.945784384137,0.850321189236841,0.0647323699331527
870.963589956081,0.85114746901592,0.0642199207119814
1071.51930523761,0.85290849743964,0.0652102998743823
1318.25673855641,0.852365454667014,0.0646322745466913
1621.81009735893,0.853510754911113,0.0646743672034994
1995.26231496888,0.854276070087716,0.0646201422656192
2454.70891568503,0.85512643389362,0.0649105641277357
3019.95172040202,0.854071424232954,0.0650916873980475
3715.35229097173,0.854086770643266,0.0655904091878307
4570.88189614875,0.854594288292757,0.0645562229139306
5623.41325190349,0.856008945771785,0.0654397081153756
6918.30970918936,0.854827132335278,0.0646544924435894
8511.38038202376,0.854301634750534,0.0637628700046892
10471.285480509,0.855072746420701,0.0643760395725471
12882.4955169313,0.854614964961993,0.0639511784054188
15848.9319246111,0.85513179191587,0.0641888727806115
19498.4459975805,0.855345176575099,0.064444558364303
23988.3291901949,0.854599636983018,0.0641064318128151
29512.0922666638,0.8566207736569,0.0644108135819582
36307.8054770101,0.854459041068702,0.0638717603176721
44668.3592150964,0.855059191563585,0.0646459422082856
54954.0873857625,0.853984082519348,0.0657096426605077
67608.2975391982,0.854837990866668,0.0645211659930364
83176.3771102671,0.855639814413007,0.0640674345144026
102329.299228075,0.855006353164904,0.0646077744688629
125892.541179417,0.854698834927496,0.0644528081000906
154881.661891248,0.856037797682168,0.0651068074908414
190546.071796324,0.856114862845591,0.0650179348309234
234422.881531992,0.855755150777568,0.0637622059370402
288403.150312661,0.855332071938781,0.064708604456755
354813.389233576,0.854994600824251,0.0651683649541454
436515.832240167,0.856395356287159,0.0644993777475082
537031.796370253,0.85716900485884,0.0644649633752717
660693.448007596,0.854610230345702,0.0647085291240271
812830.5161641,0.854514150464511,0.0646274285757958
1000000,0.857550829322075,0.0651141322715729
