F_dot,F_dot/P_info,F_dot/P_trap (conventional)
0.21912148290187,0.0470863671264808,0.39722549227986
0.219142024835849,0.0470896763525979,0.397203047062306
0.219162851447771,0.0470930314285869,0.397180293379738
0.21918396666356,0.0470964329863021,0.397157227050167
0.219205374462746,0.0470998816662963,0.397133843836499
0.219227078879184,0.0471033781180214,0.39711013944585
0.21924908400178,0.047106922999666,0.397086109528859
0.219271393975225,0.0471105169785617,0.39706174967899
0.219294013000741,0.0471141607308743,0.39703705543183
0.219316945336837,0.0471178549420374,0.397012022264378
0.21934019530007,0.0471216003068267,0.396986645594327
0.219363767265822,0.0471253975296437,0.396960920779333
0.219387665669083,0.0471292473244457,0.396934843116293
0.219411895005243,0.0471331504146984,0.396908407840593
0.219436459830897,0.0471371075336959,0.396881610125367
0.21946136476466,0.0471411194250754,0.396854445080741
0.219486614487988,0.0471451868420994,0.396826907753065
0.219512213746016,0.0471493105487352,0.396798993124151
0.219538167348403,0.0471534913187941,0.396770696110485
0.219564480170184,0.0471577299372193,0.396742011562449
0.219591157152641,0.0471620271990747,0.396712934263525
0.219618203304177,0.0471663839103313,0.396683458929492
0.219645623701208,0.0471708008881444,0.39665358020762
0.219673423489057,0.0471752789605968,0.396623292675853
0.219701607882872,0.0471798189668318,0.396592590841983
0.219730182168541,0.0471844217577209,0.396561469142822
0.219759151703631,0.0471890881951429,0.396529921943357
0.219788521918331,0.0471938191532197,0.396497943535908
0.219818298316405,0.0471986155174496,0.39646552813927
0.219848486476171,0.0472034781854494,0.396432669897852
0.219879092051469,0.0472084080671844,0.396399362880803
0.219910120772666,0.0472134060845041,0.396365601081139
0.21994157844765,0.0472184731723052,0.396331378414852
0.219973470962856,0.0472236102773794,0.396296688720019
0.220005804284292,0.0472288183599756,0.396261525755901
0.220038584458582,0.0472340983926901,0.396225883202032
0.220071817614022,0.0472394513618808,0.396189754657302
0.220105509961645,0.0472448782666008,0.396153133639034
0.22013966779631,0.0472503801196901,0.396116013582053
0.220174297497785,0.0472559579476455,0.396078387837742
0.220209405531866,0.0472616127906782,0.396040249673098
0.220244998451489,0.047267345702979,0.396001592269777
0.220281082897871,0.047273157753001,0.395962408723128
0.220317665601654,0.0472790500235772,0.39592269204123
0.22035475338407,0.0472850236118988,0.395882435143905
0.220392353158113,0.047291079630199,0.395841630861742
0.220430471929735,0.0472972192054216,0.3958002719351
0.220469116799044,0.0473034434795938,0.395758351013111
0.220508294961528,0.0473097536102442,0.395715860652672
0.220548013709283,0.0473161507702846,0.395672793317431
0.220588280432267,0.0473226361482971,0.395629141376766
0.220629102619556,0.0473292109489936,0.395584897104761
0.220670487860625,0.047335876393006,0.395540052679164
0.220712443846643,0.0473426337172215,0.395494600180354
0.220754978371773,0.0473494841755051,0.395448531590285
0.220798099334502,0.0473564290378319,0.395401838791437
0.220841814738978,0.0473634695915848,0.395354513565748
0.220886132696362,0.0473706071411034,0.395306547593555
0.220931061426197,0.0473778430084815,0.395257932452511
0.220976609257799,0.04738517853281,0.39520865961651
0.221022784631652,0.0473926150717359,0.395158720454598
0.221069596100832,0.0474001540002168,0.395108106229884
0.221117052332433,0.0474077967123108,0.395056808098436
0.221165162109029,0.0474155446199704,0.395004817108183
0.221213934330129,0.0474233991541775,0.394952124197802
0.221263378013669,0.0474313617648522,0.394898720195606
0.221313502297509,0.0474394339211458,0.394844595818423
0.221364316440953,0.0474476171117582,0.394789741670471
0.22141582982628,0.0474559128451038,0.394734148242227
0.221468051960298,0.0474643226494965,0.394677805909299
0.221520992475917,0.0474728480737281,0.394620704931281
0.221574661133726,0.0474814906864149,0.394562835450612
0.22162906782361,0.047490252077874,0.394504187491433
0.221684222566362,0.0474991338584495,0.394444750958432
0.221740135515328,0.0475081376606231,0.394384515635694
0.221796816958064,0.047517265137575,0.394323471185541
0.221854277318013,0.0475265179648063,0.394261607147375
0.221912527156198,0.0475358978398309,0.394198912936512
0.221971577172939,0.0475454064820629,0.394135377843022
0.222031438209578,0.0475550456343505,0.394070991030555
0.222092121250238,0.0475648170614878,0.394005741535177
0.222153637423583,0.0475747225519863,0.3939396182642
0.222215998004613,0.0475847639177126,0.393872609995004
0.222279214416467,0.047594942994286,0.393804705373873
0.222343298232254,0.0476052616413085,0.393735892914813
0.222408261176891,0.0476157217428201,0.393666160998386
0.222474115128975,0.0476263252072329,0.393595497870533
0.222540872122664,0.0476370739680105,0.3935238916414
0.222608544349583,0.0476479699838511,0.393451330284169
0.222677144160746,0.0476590152390621,0.393377801633888
0.222746684068499,0.0476702117437986,0.3933032933863
0.222817176748487,0.047681561534149,0.393227793096677
0.222888635041635,0.0476930666729555,0.393151288178659
0.222961071956152,0.0477047292494314,0.393073765903088
0.223034500669556,0.0477165513803973,0.392995213396858
0.223108934530717,0.0477285352097795,0.392915617641755
0.223184387061925,0.047740682909366,0.392834965473313
0.22326087196097,0.0477529966792598,0.392753243579668
0.223338403103254,0.0477654787472748,0.392670438500422
0.223416994543914,0.0477781313710429,0.392586536625512
0.223496660519967,0.0477909568362269,0.392501524194082
0.223577415452487,0.0478039574586948,0.392415387293367
0.223659273948784,0.0478171355840375,0.392328111857585
0.223742250804621,0.0478304935874757,0.392239683666832
0.223826361006442,0.0478440338752386,0.392150088345994
0.223911619733626,0.0478577588843491,0.392059311363661
0.22399804236076,0.047871671082808,0.391967338031058
0.224085644459933,0.0478857729705204,0.391874153500982
0.224174441803053,0.0479000670790019,0.391779742766754
0.224264450364184,0.0479145559723669,0.391684090661183
0.224355686321903,0.0479292422472759,0.391587181855541
