F_dot,F_dot/P_info,F_dot/P_trap (conventional)
0.21912148290187,0.0459414517624228,0.39722549227986
0.219142024835849,0.0459446791534293,0.397203047062306
0.219162851447771,0.0459479512604748,0.397180293379738
0.21918396666356,0.0459512686997863,0.397157227050167
0.219205374462746,0.0459546320960735,0.397133843836499
0.219227078879184,0.0459580420827308,0.39711013944585
0.21924908400178,0.0459614993016696,0.397086109528859
0.219271393975225,0.0459650044037215,0.39706174967899
0.219294013000741,0.0459685580483299,0.39703705543183
0.219316945336837,0.0459721609039766,0.397012022264378
0.21934019530007,0.0459758136482545,0.396986645594327
0.219363767265822,0.0459795169681491,0.396960920779333
0.219387665669083,0.0459832715599643,0.396934843116293
0.219411895005243,0.0459870781292728,0.396908407840593
0.219436459830897,0.0459909373912315,0.396881610125367
0.21946136476466,0.0459948500710934,0.396854445080741
0.219486614487988,0.0459988169034897,0.396826907753065
0.219512213746016,0.0460028386335005,0.396798993124151
0.219538167348403,0.0460069160157935,0.396770696110485
0.219564480170184,0.0460110498159096,0.396742011562449
0.219591157152641,0.0460152408092468,0.396712934263525
0.219618203304177,0.0460194897818436,0.396683458929492
0.219645623701208,0.0460237975306512,0.39665358020762
0.219673423489057,0.0460281648632748,0.396623292675853
0.219701607882872,0.0460325925981044,0.396592590841983
0.219730182168541,0.0460370815649745,0.396561469142822
0.219759151703631,0.0460416326044437,0.396529921943357
0.219788521918331,0.0460462465690243,0.396497943535908
0.219818298316405,0.046050924322313,0.39646552813927
0.219848486476171,0.0460556667397286,0.396432669897852
0.219879092051469,0.046060474708738,0.396399362880803
0.219910120772666,0.046065349128389,0.396365601081139
0.21994157844765,0.0460702909104666,0.396331378414852
0.219973470962856,0.0460753009783424,0.396296688720019
0.220005804284292,0.0460803802685247,0.396261525755901
0.220038584458582,0.0460855297295524,0.396225883202032
0.220071817614022,0.0460907503233987,0.396189754657302
0.220105509961645,0.046096043024406,0.396153133639034
0.22013966779631,0.0461014088203691,0.396116013582053
0.220174297497785,0.0461068487124014,0.396078387837742
0.220209405531866,0.046112363714991,0.396040249673098
0.220244998451489,0.0461179548562588,0.396001592269777
0.220281082897871,0.0461236231782363,0.395962408723128
0.220317665601654,0.0461293697369811,0.39592269204123
0.22035475338407,0.0461351956025489,0.395882435143905
0.220392353158113,0.0461411018596719,0.395841630861742
0.220430471929735,0.0461470896074246,0.3958002719351
0.220469116799044,0.0461531599595917,0.395758351013111
0.220508294961528,0.0461593140450791,0.395715860652672
0.220548013709283,0.0461655530077936,0.395672793317431
0.220588280432267,0.0461718780069232,0.395629141376766
0.220629102619556,0.0461782902173925,0.395584897104761
0.220670487860625,0.0461847908296457,0.395540052679164
0.220712443846643,0.0461913810499811,0.395494600180354
0.220754978371773,0.046198062101265,0.395448531590285
0.220798099334502,0.046204835222059,0.395401838791437
0.220841814738978,0.0462117016679149,0.395354513565748
0.220886132696362,0.0462186627109144,0.395306547593555
0.220931061426197,0.0462257196404636,0.395257932452511
0.220976609257799,0.0462328737625318,0.39520865961651
0.221022784631652,0.0462401264012009,0.395158720454598
0.221069596100832,0.0462474788974183,0.395108106229884
0.221117052332433,0.0462549326107791,0.395056808098436
0.221165162109029,0.0462624889183134,0.395004817108183
0.221213934330129,0.0462701492156188,0.394952124197802
0.221263378013669,0.0462779149167603,0.394898720195606
0.221313502297509,0.0462857874545581,0.394844595818423
0.221364316440953,0.0462937682808991,0.394789741670471
0.22141582982628,0.0463018588668972,0.394734148242227
0.221468051960298,0.0463100607030726,0.394677805909299
0.221520992475917,0.0463183752999211,0.394620704931281
0.221574661133726,0.0463268041872611,0.394562835450612
0.22162906782361,0.0463353489160933,0.394504187491433
0.221684222566362,0.0463440110569308,0.394444750958432
0.221740135515328,0.0463527922018962,0.394384515635694
0.221796816958064,0.0463616939632799,0.394323471185541
0.221854277318013,0.0463707179751538,0.394261607147375
0.221912527156198,0.0463798658930569,0.394198912936512
0.221971577172939,0.0463891393938778,0.394135377843022
0.222031438209578,0.0463985401773774,0.394070991030555
0.222092121250238,0.0464080699647002,0.394005741535177
0.222153637423583,0.0464177305001324,0.3939396182642
0.222215998004613,0.0464275235507368,0.393872609995004
0.222279214416467,0.0464374509067406,0.393804705373873
0.222343298232254,0.0464475143817616,0.393735892914813
0.222408261176891,0.0464577158132518,0.393666160998386
0.222474115128975,0.0464680570624278,0.393595497870533
0.222540872122664,0.0464785400149421,0.3935238916414
0.222608544349583,0.0464891665810568,0.393451330284169
0.222677144160746,0.0464999386960124,0.393377801633888
0.222746684068499,0.0465108583202575,0.3933032933863
0.222817176748487,0.0465219274395278,0.393227793096677
0.222888635041635,0.0465331480656594,0.393151288178659
0.222961071956152,0.0465445222361961,0.393073765903088
0.223034500669556,0.0465560520156197,0.392995213396858
0.223108934530717,0.0465677394948362,0.392915617641755
0.223184387061925,0.0465795867919308,0.392834965473313
0.22326087196097,0.046591596052607,0.392753243579668
0.223338403103254,0.0466037694495768,0.392670438500422
0.223416994543914,0.0466161091846581,0.392586536625512
0.223496660519967,0.0466286174869821,0.392501524194082
0.223577415452487,0.0466412966151549,0.392415387293367
0.223659273948784,0.0466541488567683,0.392328111857585
0.223742250804621,0.0466671765283012,0.392239683666832
0.223826361006442,0.0466803819764846,0.392150088345994
0.223911619733626,0.0466937675780803,0.392059311363661
0.22399804236076,0.0467073357400562,0.391967338031058
0.224085644459933,0.0467210889005042,0.391874153500982
0.224174441803053,0.0467350295283358,0.391779742766754
0.224264450364184,0.0467491601242621,0.391684090661183
0.224355686321903,0.0467634832207327,0.391587181855541
