Dne,F_dot,P_info
0.01,0.21912148290187,4.65360774835905
0.0101392540755882,0.219142024835849,4.65371694625714
0.0102804473209331,0.219162851447771,4.65382764284596
0.010423606739764,0.21918396666356,4.65393985840306
0.010568759711848,0.219205374462746,4.65405361346385
0.0107159339982267,0.219227078879184,4.65416892881638
0.0108651577465254,0.21924908400178,4.65428582553216
0.0110164594963366,0.219271393975225,4.65440432494102
0.0111698681846782,0.219294013000741,4.65452444867676
0.0113254131515281,0.219316945336837,4.65464621864964
0.0114831241454351,0.21934019530007,4.65476965705456
0.0116430313292088,0.219363767265822,4.65489478635876
0.011805165285688,0.219387665669083,4.6550216293246
0.0119695570235904,0.219411895005243,4.65515020903037
0.0121362379834424,0.219436459830897,4.65528054885491
0.0123052400435926,0.21946136476466,4.65541267244331
0.0124765955263087,0.219486614487988,4.65554660379439
0.012650337203959,0.219512213746016,4.65568236717101
0.0128264983052806,0.219538167348403,4.65581998720211
0.0130051125217341,0.219564480170184,4.65595948877287
0.0131862140139475,0.219591157152641,4.65610089714187
0.0133698374182495,0.219618203304177,4.6562442378813
0.0135560178532937,0.219645623701208,4.65638953686732
0.0137447909267754,0.219673423489057,4.65653682032362
0.0139361927422414,0.219701607882872,4.65668611482647
0.0141302599059953,0.219730182168541,4.6568374472574
0.0143270295340983,0.219759151703631,4.65699084489306
0.0145265392594678,0.219788521918331,4.65714633530217
0.014728827239075,0.219818298316405,4.65730394645024
0.0149339321612425,0.219848486476171,4.65746370664566
0.0151418932530435,0.219879092051469,4.65762564453666
0.0153527502878042,0.219910120772666,4.65778978917689
0.0155665435927106,0.21994157844765,4.65795616993077
0.0157833140565212,0.219973470962856,4.65812481660738
0.016003103137387,0.220005804284292,4.65829575932685
0.0162259528707809,0.220038584458582,4.65846902865061
0.0164519058775366,0.220071817614022,4.65864465546281
0.0166810053720006,0.220105509961645,4.65882267109674
0.0169132951702965,0.22013966779631,4.65900310724852
0.0171488196987054,0.220174297497785,4.65918599601165
0.0173876240021625,0.220209405531866,4.65937136989323
0.0176297537528721,0.220244998451489,4.65955926180996
0.0178752552590424,0.220281082897871,4.65974970508263
0.0181241754737424,0.220317665601654,4.65994273344718
0.0183765620038817,0.22035475338407,4.66013838107971
0.0186324631193156,0.220392353158113,4.6603366825522
0.0188919277620767,0.220430471929735,4.66053767288855
0.0191550055557353,0.220469116799044,4.66074138755146
0.0194217468148903,0.220508294961528,4.66094786242513
0.0196922025547917,0.220548013709283,4.66115713385104
0.0199664245010979,0.220588280432267,4.66136923862396
0.020244465099768,0.220629102619556,4.6615842139715
0.0205263775270925,0.220670487860625,4.66180209759948
0.0208122156998634,0.220712443846643,4.66202292768422
0.021102034285686,0.220754978371773,4.66224674282669
0.0213958887134342,0.220798099334502,4.66247358216373
0.0216938351838518,0.220841814738978,4.66270348526612
0.0219959306803007,0.220886132696362,4.66293649220931
0.0223022329796594,0.220931061426197,4.66317264352129
0.0226128006633728,0.220976609257799,4.66341198028394
0.0229276931286565,0.221022784631652,4.66365454400651
0.0232469705998565,0.221069596100832,4.66390037677558
0.0235706941399673,0.221117052332433,4.66414952110639
0.0238989256623105,0.221165162109029,4.6644020200894
0.024231727942376,0.221213934330129,4.66465791730667
0.0245691646298279,0.221263378013669,4.66491725686928
0.0249113002606779,0.221313502297509,4.66518008341706
0.0252582002696278,0.221364316440953,4.66544644211639
0.0256099310025846,0.22141582982628,4.66571637867301
0.0259665597293487,0.221468051960298,4.66598993934337
0.0263281546564802,0.221520992475917,4.6662671709075
0.0266947849403432,0.221574661133726,4.66654812076323
0.0270665207003324,0.22162906782361,4.66683283677217
0.0274434330322837,0.221684222566362,4.66712136745474
0.0278255940220712,0.221740135515328,4.66741376181361
0.0282130767593947,0.221796816958064,4.66771006950639
0.0286059553517574,0.221854277318013,4.66801034071751
0.0290043049386399,0.221912527156198,4.66831462622034
0.0294082017058706,0.221971577172939,4.66862297742012
0.0298177229001967,0.222031438209578,4.66893544623576
0.0302329468440578,0.222092121250238,4.66925208527841
0.0306539529505653,0.222153637423583,4.66957294771039
0.0310808217386906,0.222215998004613,4.66989808731396
0.0315136348486648,0.222279214416467,4.67022755848563
0.0319524750575921,0.222343298232254,4.67056141624731
0.032397426295282,0.222408261176891,4.67089971623558
0.0328485736603004,0.222474115128975,4.67124251474242
0.0333060034362459,0.222540872122664,4.67158986868308
0.0337698031082509,0.222608544349583,4.67194183561293
0.0342400613797143,0.222677144160746,4.67229847372583
0.0347168681892656,0.222746684068499,4.67265984186605
0.0352003147279668,0.222817176748487,4.67302599955557
0.0356904934567523,0.222888635041635,4.67339700694954
0.0361874981241128,0.222961071956152,4.67377292490994
0.0366914237840249,0.223034500669556,4.67415381492095
0.0372023668141307,0.223108934530717,4.67453973917478
0.03772042493417,0.223184387061925,4.67493076053462
0.03824569722467,0.22326087196097,4.67532694252752
0.0387782841458946,0.223338403103254,4.675728349441
0.0393182875570577,0.223416994543914,4.67613504615463
0.0398658107358044,0.223496660519967,4.67654709835293
0.0404209583979631,0.223577415452487,4.67696457235094
0.0409838367175726,0.223659273948784,4.6773875351799
0.0415545533471888,0.223742250804621,4.67781605463522
0.0421332174384729,0.223826361006442,4.67825019918067
0.0427199396630678,0.223911619733626,4.67869003800868
0.043314832233764,0.22399804236076,4.67913564106191
0.0439180089259609,0.224085644459933,4.67958707898242
0.0445295850994266,0.224174441803053,4.68004442318046
0.045149677720361,0.224264450364184,4.68050774577814
0.0457784053837662,0.224355686321903,4.68097711965507
0.0464158883361278,0.224448166061685,4.68145261843878
